id	main_strategy	management_fee	incentive_fee	high_watermark	firm_id	strategy_code	date	performance	nav	assets	mktrf	smb	hml	rf
10647	0	2	20	1	5971	3	20021031	-4.75			7.84	-2.86	-5.4	0.14
10647	0	2	20	1	5971	3	20021130	-0.0105			5.96	2.95	-0.95	0.12
10647	0	2	20	1	5971	3	20021231	0.76			-5.76	0	2.21	0.11
10647	0	2	20	1	5971	3	20030131	5.14			-2.57	1.44	-0.83	0.1
10647	0	2	20	1	5971	3	20030228	-8.0186			-1.88	-0.35	-1.47	0.09
10647	0	2	20	1	5971	3	20030331	-4.4935			1.09	1	-1.93	0.1
10647	0	2	20	1	5971	3	20030430	8.9586			8.22	0.61	1.11	0.1
10647	0	2	20	1	5971	3	20030531	16.4026			6.05	4.84	-0.1	0.09
10647	0	2	20	1	5971	3	20030630	1.9215			1.42	1.6	0.57	0.1
10647	0	2	20	1	5971	3	20030731	1.798			2.35	5.34	-1.02	0.07
10647	0	2	20	1	5971	3	20030831	4.2699			2.34	2.65	2.1	0.07
10647	0	2	20	1	5971	3	20030930	7.8365			-1.24	0.81	0.01	0.08
10647	0	2	20	1	5971	3	20031031	2.0207			6.08	2.81	1.93	0.07
10647	0	2	20	1	5971	3	20031130	-3.4831			1.35	2.16	1.96	0.07
10647	0	2	20	1	5971	3	20031231	12.68			4.29	-3.05	2.35	0.08
10647	0	2	20	1	5971	3	20040131	4.04			2.15	2.74	1.96	0.07
10647	0	2	20	1	5971	3	20040229	-0.971			1.4	-1.43	0.48	0.06
10647	0	2	20	1	5971	3	20040331	4.7025			-1.32	1.77	0.25	0.09
10647	0	2	20	1	5971	3	20040430	-4.82			-1.83	-2.12	-2.62	0.08
10647	0	2	20	1	5971	3	20040531	-0.7429			1.17	-0.19	-0.35	0.06
10647	0	2	20	1	5971	3	20040630	-1.4767			1.86	2.23	1.35	0.08
10647	0	2	20	1	5971	3	20040731	-0.0342			-4.06	-3.8	4.09	0.1
10647	0	2	20	1	5971	3	20040831	0.65			0.08	-1.59	0.96	0.11
10647	0	2	20	1	5971	3	20040930	3.55			1.6	3.05	-0.24	0.11
10647	0	2	20	1	5971	3	20041031	5.96			1.43	0.33	-0.56	0.11
10647	0	2	20	1	5971	3	20041130	1.86			4.54	3.9	1.81	0.15
10647	0	2	20	1	5971	3	20041231	-2.63			3.43	0.16	-0.04	0.16
10647	0	2	20	1	5971	3	20050131	2.5			-2.76	-1.53	1.95	0.16
10647	0	2	20	1	5971	3	20050228	9.95			1.89	-0.49	1.65	0.16
10647	0	2	20	1	5971	3	20050331	-2.24			-1.97	-1.42	1.54	0.21
10647	0	2	20	1	5971	3	20050430	0.04			-2.61	-4	-0.35	0.21
10647	0	2	20	1	5971	3	20050531	-4.7			3.65	2.87	-0.81	0.24
10647	0	2	20	1	5971	3	20050630	3.66			0.57	2.59	2.69	0.23
10647	0	2	20	1	5971	3	20050731	0.19			3.92	2.89	-0.54	0.24
10647	0	2	20	1	5971	3	20050831	4.39			-1.22	-0.93	1.27	0.3
10647	0	2	20	1	5971	3	20050930	8.75			0.49	-0.58	0.76	0.29
10647	0	2	20	1	5971	3	20051031	-6.89			-2.02	-1.21	0.25	0.27
10647	0	2	20	1	5971	3	20051130	-4.67			3.61	0.89	-1.19	0.31
10647	0	2	20	1	5971	3	20051231	6.04			-0.25	-0.49	0.4	0.32
10647	0	2	20	1	5971	3	20060131	12.82			3.04	5.43	1.12	0.35
10647	0	2	20	1	5971	3	20060228	-8.07			-0.3	-0.38	-0.25	0.34
10647	0	2	20	1	5971	3	20060331	-0.69			1.46	3.51	0.51	0.37
10647	0	2	20	1	5971	3	20060430	3.69			0.73	-1.34	2.61	0.36
10647	0	2	20	1	5971	3	20060531	-5.3			-3.57	-3.03	2.57	0.43
10647	0	2	20	1	5971	3	20060630	3.79			-0.35	-0.38	0.86	0.4
10647	0	2	20	1	5971	3	20060731	-5.5			-0.78	-4.07	2.92	0.4
10647	0	2	20	1	5971	3	20060831	-1.89			2.03	0.92	-1.72	0.42
10647	0	2	20	1	5971	3	20060930	2.33			1.84	-1.36	0.03	0.41
10647	0	2	20	1	5971	3	20061031	-1.91			3.23	1.75	-0.05	0.41
10647	0	2	20	1	5971	3	20061130	1.03			1.71	0.86	0.04	0.42
10647	0	2	20	1	5971	3	20061231	-0.53			0.87	-1.1	3.16	0.4
10647	0	2	20	1	5971	3	20070131	0.75			1.4	0.1	-0.13	0.44
10647	0	2	20	1	5971	3	20070228	1.68			-1.96	1.32	-0.1	0.38
10647	0	2	20	1	5971	3	20070331	-2.6			0.68	-0.06	-0.23	0.43
10647	0	2	20	1	5971	3	20070430	0.8			3.49	-2.07	-1.15	0.44
10647	0	2	20	1	5971	3	20070531	1.82			3.24	-0.01	-0.07	0.41
10647	0	2	20	1	5971	3	20070630	3.39			-1.96	0.79	-1.11	0.4
